position,player_name,total_score,r4_score,sg_putt,sg_arg,sg_app,sg_ott,sg_t2g,sg_total,distance,accuracy,gir,prox_fw,prox_rgh,scrambling,great_shots,poor_shots,sg_bs,year
CUT,"Lee, Min Woo",5,,-0.505,1.296,-2.487,0.421,-0.77,-1.276,291.9,0.464285,0.5,49.045125,87.43747499999999,0.6521739130434783,2.5,3.0,-2.067,2025
CUT,"Cauley, Bud",5,,0.427,0.019,-1.411,-0.311,-1.704,-1.276,283.9413793103448,0.607145,0.583335,48.91304347826087,69.29759999999999,0.5500039999999999,3.5,7.0,-1.722,2025
CUT,"Pavon, Matthieu",5,,-0.453,-0.048,0.289,-1.064,-0.823,-1.276,286.95000000000005,0.42857,0.6111150000000001,39.63887916666667,79.96298888888889,0.4444444444444444,5.5,8.5,-0.774,2025
CUT,"Kaewkanjana, Sadom",5,,-1.516,0.469,-0.011,-0.216,0.241,-1.276,287.0,0.42857,0.6666650000000001,40.753211538461535,38.70002,0.357145,3.5,6.0,-0.228,2025
CUT,"Potgieter, Aldrich",5,,-0.052,-0.955,-0.087,-0.182,-1.224,-1.276,294.95000000000005,0.464285,0.61111,39.769238461538464,73.71664000000001,0.4285714285714285,2.5,3.5,-0.269,2025
CUT,"Oosthuizen, Louis",6,,-0.502,-0.609,-2.062,1.398,-1.274,-1.776,291.9,0.6785749999999999,0.5,47.00598214285714,58.36670000000001,0.434784348,3.5,5.0,-0.665,2025
CUT,"Jaeger, Stephan",6,,1.285,0.49,-0.08,-3.471,-3.061,-1.776,286.92758620689654,0.392855,0.5,37.67029130434783,78.56666999999999,0.6000000000000001,3.5,5.0,-3.55,2025
CUT,"Thompson, Davis",6,,2.082,-0.937,-1.871,-1.05,-3.857,-1.776,290.4517241,0.464285,0.55556,45.61391666666667,91.50002,0.5555533333333333,5.0,5.0,-2.921,2025
CUT,"Clarke, Darren",6,,-2.139,0.767,-0.598,0.194,0.363,-1.776,282.25,0.57143,0.583335,46.46525,63.6666625,0.2941158823529411,4.5,5.5,-0.404,2025
CUT,"Canter, Laurie",6,,-2.528,-0.079,0.002,0.829,0.752,-1.776,299.45,0.42857,0.66667,47.17016249999999,56.99997142857143,0.466664,2.5,7.0,0.831,2025
CUT,"Hastings, Justin",6,,-0.212,0.587,-2.334,0.183,-1.564,-1.776,294.79999999999995,0.5357149999999999,0.555555,48.01305,99.604175,0.4705858823529412,4.0,5.5,-2.151,2025
CUT,"Jakubcik, Filip",6,,-0.901,-0.205,0.315,-0.984,-0.875,-1.776,280.2,0.464285,0.6111150000000001,38.37099032258064,139.08336666666665,0.666668,0.5,3.5,-0.67,2025
CUT,"Knipes, Curtis",6,,-1.194,0.069,-0.342,-0.309,-0.581,-1.776,294.85,0.321425,0.61111,46.42389130434783,54.15736666666666,0.5555555555555556,4.0,7.0,-0.65,2025
CUT,"Koepka, Brooks",7,,-0.516,-0.345,-0.105,-1.309,-1.76,-2.276,285.75,0.42857,0.583335,35.8363,78.46665999999999,0.3529423529411765,4.5,7.0,-1.414,2025
CUT,"Morikawa, Collin",7,,0.745,-0.13,-1.873,-1.017,-3.02,-2.276,289.15,0.5357149999999999,0.472225,45.083316,61.30552222222222,0.5652134782608695,2.0,7.0,-2.89,2025
CUT,"Poston, J.T.",7,,-1.839,0.157,-0.573,-0.021,-0.437,-2.276,292.5482759,0.64286,0.55556,42.16983846153846,57.6,0.5,3.0,5.0,-0.594,2025
CUT,"Hughes, Mackenzie",7,,0.398,-1.98,-1.882,1.188,-2.673,-2.276,298.5,0.35714,0.444445,48.54334,69.84262222222223,0.4166691666666667,5.0,6.0,-0.694,2025
CUT,"Theegala, Sahith",7,,0.477,-0.201,-2.689,0.137,-2.753,-2.276,295.15,0.5357149999999999,0.38889,47.929507692307695,77.80553333333332,0.5925911111111111,5.0,8.0,-2.552,2025
