position,player_name,total_score,r4_score,sg_putt,sg_arg,sg_app,sg_ott,sg_t2g,sg_total,distance,accuracy,gir,prox_fw,prox_rgh,scrambling,great_shots,poor_shots,sg_bs,year
T10,"Fitzpatrick, Matt",-4,-2.0,0.782,-0.727,1.038,0.961,1.272,2.01,300.225,0.7857125,0.6388875,35.93296440677966,79.72995,0.6451629032258064,3.25,3.25,2.0,2023
T10,"Morikawa, Collin",-4,0.0,0.606,0.255,0.757,0.436,1.449,2.01,298.2,0.80357,0.6388925000000001,33.14892241,42.849625,0.6875,3.25,3.25,1.193,2023
T14,"Woodland, Gary",-3,0.0,0.607,-0.354,1.092,0.46,1.198,1.76,300.75,0.7500025,0.7083349999999999,35.388130909090904,77.54108889,0.558824706,3.0,4.0,1.552,2023
T14,"Cantlay, Patrick",-3,3.0,-0.975,0.616,1.543,0.62,2.779,1.76,299.675,0.80357,0.75,39.32652333333333,76.2937,0.6000004000000001,4.5,5.0,2.163,2023
T16,"Niemann, Joaquin",-2,0.0,0.902,0.497,-0.96,1.114,0.652,1.51,312.275,0.7321425,0.6111125000000001,36.18748771929825,74.43468,0.5526328947368421,4.0,4.5,0.155,2023
T16,"Lowry, Shane",-2,1.0,-0.42,0.67,0.157,1.148,1.974,1.51,292.7,0.892855,0.708335,43.66253235294118,48.5598,0.6086960869565217,3.5,3.0,1.305,2023
T16,"Matsuyama, Hideki",-2,3.0,-0.484,1.145,0.761,0.132,2.038,1.51,280.8,0.8571425,0.6111125000000001,37.18627813,65.83109999999999,0.6666650000000001,2.75,3.5,0.893,2023
T16,"Im, Sungjae",-2,0.0,0.044,0.629,0.84,0.041,1.51,1.51,284.05,0.7678575,0.5972225,39.33409636363636,71.15039166666668,0.6111111111111112,3.5,3.0,0.881,2023
T16,"Rose, Justin",-2,1.0,1.516,0.416,0.064,-0.442,0.038,1.51,289.325,0.7499975,0.5972225,36.19556393442623,68.3896,0.71875125,3.5,3.5,-0.379,2023
T16,"Kim, Tom",-2,-2.0,0.415,-0.09,0.632,0.597,1.139,1.51,289.225,0.8392850000000001,0.7083325,36.74646612903226,52.81338,0.5666676666666667,3.25,3.5,1.229,2023
T16,"Bennett, Sam",-2,2.0,0.262,0.35,1.042,-0.099,1.292,1.51,289.475,0.80357,0.6388875,38.14255469,70.35023333333332,0.6774209677419355,3.5,3.0,0.942,2023
T23,"Kirk, Chris",-1,-1.0,0.766,0.468,0.592,-0.522,0.538,1.26,284.25,0.8214275,0.597225,40.57797878787879,50.2024,0.656249375,3.5,3.75,0.07,2023
T23,"Bradley, Keegan",-1,-1.0,0.45,0.845,-0.114,0.122,0.854,1.26,286.725,0.7857149999999999,0.5416675,43.77456393442623,39.91406666666666,0.6969724242424242,3.25,3.25,0.008,2023
T23,"Lee, K.H.",-1,0.0,-0.339,0.474,0.576,0.594,1.643,1.26,292.05,0.85714,0.597225,44.65905714285714,63.51448333333334,0.6,2.75,4.5,1.169,2023
T26,"Stallings, Scott",0,0.0,0.823,0.001,-0.008,0.238,0.231,1.01,298.525,0.69643,0.6111125000000001,32.61261896551724,56.36985,0.593751563,3.5,2.25,0.23,2023
T26,"Finau, Tony",0,0.0,-0.478,0.848,1.128,-0.443,1.532,1.01,294.17499999999995,0.75,0.666665,34.600527586206894,78.96467142857142,0.6206903448275862,2.5,4.25,0.684,2023
T26,"Fox, Ryan",0,1.0,0.218,0.145,0.479,0.212,0.836,1.01,298.775,0.64286,0.6527775,40.61206724137931,99.08003571428571,0.566667,4.75,4.75,0.691,2023
T29,"Burns, Sam",1,0.0,-0.051,-0.378,0.59,0.642,0.855,0.76,303.62982456140344,0.8214275,0.6944425,33.62836875,80.42808,0.4814833333333333,4.0,5.5,1.232,2023
T29,"Kim, Si Woo",1,0.0,0.036,0.184,0.634,-0.05,0.768,0.76,286.05,0.8214275,0.5972225,44.13062096774193,62.160375,0.5675683783783784,2.5,4.5,0.584,2023
